 ,psm_yaw_joint,psm_pitch_joint,psm_main_insertion_joint,psm_tool_roll_joint,psm_tool_pitch_joint,psm_tool_yaw_joint,psm_tool_gripper2_joint
Positions
0,0.21058167012949996,0.579198755350423,0.09394310687815689,0.03437371187415509,-0.18100629226686138,0.03849544116375464,0.03863790021748707
1,0.20140504189344302,0.5913021643865919,0.09850806225484664,0.038083349832442416,-0.1933787103116392,0.04216096591807295,0.042303424971805385
2,0.19297694432706544,0.6021032903302656,0.10308840312457589,0.041506526403455764,-0.20444855824663227,0.04549342023039163,0.04563587928412406
3,0.18521176056428404,0.611796426405024,0.10768186029177056,0.044674355028981656,-0.21440736311932607,0.048535921584352285,0.04867838063808472
4,0.17803588638438278,0.6205398906025059,0.11228660974960354,0.047613790120382284,-0.22341156434314846,0.05132453051336653,0.05146698956709896
5,0.17138597391823945,0.6284637897215816,0.11690114798974938,0.050348180184186755,-0.23159000617534933,0.053889596237468244,0.05403205529120068
6,0.16520725233656186,0.6356759271276748,0.1215242251309237,0.05289784722717856,-0.23904967525369863,0.05625683882429456,0.05639929787802699
7,0.15945215762454146,0.6422663094281775,0.12615479398749618,0.05528055705052156,-0.24588008438628106,0.05844819552498574,0.05859065457871817
8,0.1540792097082513,0.6483106189663237,0.13079197084961494,0.05751190442677299,-0.2521566558522132,0.060482488680815634,0.06062494773454806
9,0.1490520881245265,0.6538729148856369,0.13543500497133149,0.059605630860458204,-0.25794335731037515,0.06237595752350276,0.06251841657723518
10,0.14433886763969236,0.6590077529689391,0.14008325460615365,0.06157388843194127,-0.2632947738108757,0.06414268505563127,0.06428514410936369
11,0.13991138324540003,0.6637618633704128,0.1447361680173245,0.06342746022705352,-0.26825775036106875,0.0657949431762181,0.06593740222995052
12,0.13574470025664875,0.6681754889927548,0.14939326830456925,0.06517594534089985,-0.27287270427613836,0.06734347389222727,0.06748593294595968
13,0.13181667015965817,0.6722834611539407,0.15405414118614524,0.06682791502551752,-0.27717468165756226,0.068797719773923,0.06894017882765542
14,0.1281075567362818,0.6761160702055801,0.15871842508855902,0.06839104493787233,-0.28119421375422876,0.07016601421019154,0.07030847326392396
15,0.12459972002779528,0.6796997748925376,0.16338580305352315,0.06987222781617973,-0.2849580159040374,0.07145573908943878,0.0715981981431712
16,0.08747632387057465,0.6818949908913868,0.16301262568657218,0.08481708601471907,-0.28937477066214445,0.08635438427811186,0.08649684333184428
17,0.05010160294080329,0.683405140673193,0.16277066639620483,0.09979687997461242,-0.29355049760785007,0.1013476723394181,0.10149013139315051
18,0.012578976960680601,0.6842168697891604,0.16266049457502713,0.11474778702658515,-0.2974705816091832,0.1164093569657901,0.11655181601952251
19,-0.024985455029360053,0.6843233956395257,0.1626823603257555,0.12960504300565245,-0.30112246591915787,0.13151241260723576,0.13165487166096815
20,-0.06248484410714316,0.6837245465390056,0.16283618150993814,0.1443043751851576,-0.30449571280501414,0.14662936465472545,0.14677182370845784
21,-0.09981341471959375,0.6824267567019485,0.16312154504463675,0.15878334454472917,-0.30758214883729795,0.16173258779805405,0.16187504685178644
22,-0.13686824333665118,0.6804428866921536,0.16353771230138456,0.1729826260843454,-0.3103759598567208,0.17679460843067446,0.17693706748440685
23,-0.17355091867685074,0.6777918790662669,0.16408362844536023,0.18684716762541687,-0.3128737330349757,0.19178840285373366,0.19193086190746605
24,-0.20976901874890716,0.6744982672577666,0.16475793544469713,0.20032717657899551,-0.31507444593419076,0.20668768324295864,0.20683014229669103
25,-0.24543735355245616,0.670591562479612,0.16555898838466784,0.21337889709144459,-0.31697940448850465,0.22146716396181523,0.22160962301554762
26,-0.2804789388245996,0.6661055481222946,0.16648487464529405,0.22596515505926437,-0.3185921340533481,0.23610280177688006,0.23624526083061245
27,-0.29377900469673063,0.6665317201810327,0.17047166219820822,0.23085128763609,-0.32137355808490964,0.24141353289683526,0.24155599195056765
28,-0.30645078684647553,0.666848396016849,0.1744754684433778,0.23547984220007442,-0.3239816581339647,0.2464806126160629,0.2466230716697953
29,-0.3185338329593985,0.6670693190069301,0.17849509576731784,0.23986815123629512,-0.3264306427342656,0.2513194500218792,0.2514619090756116
30,-0.330064850120386,0.6672064947646522,0.18252945775022897,0.2440322669707179,-0.32873332943976397,0.2559442789119967,0.2560867379657291
Velocities
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.09911113383268942,0.12808686722362445,0.05254617490136546,0.04020043540198803,-0.13117338621741256,0.039304088997394376,0.039304088997394376
2,-0.1623880498931239,0.20505185417510283,0.09267049965952423,0.0661204618641839,-0.21044345740678694,0.06387847679413024,0.06387847679413024
3,-0.19946862259102302,0.2457843736314933,0.12338965167002457,0.0815539255381959,-0.2528370617222286,0.07780976096450123,0.07780976096450123
4,-0.22420824876459156,0.27005267438141733,0.1499657652437299,0.09202432951701303,-0.2784258902930429,0.0867934444346474,0.0867934444346474
5,-0.22529274139066063,0.2658111661010558,0.16223614359902974,0.09279728525020017,-0.27462870771704856,0.08661938958936444,0.08661938958936444
6,-0.22200612316101215,0.25663070950656164,0.17250125285903034,0.09176614420513954,-0.26571116201667044,0.08478928810440894,0.08478928810440894
7,-0.2190284899019651,0.2486847944339267,0.1824085046803754,0.09081640927753118,-0.25798053287723083,0.0831718213329805,0.08317182133298036
8,-0.2034467017954341,0.22705955482501788,0.18150549228096752,0.08460663978883123,-0.2359921040107507,0.07683620530613772,0.07683620530613758
9,-0.18753052663557812,0.2059683494318979,0.1788231887112728,0.07820416181987122,-0.2144573092964229,0.07047143303040751,0.07047143303040738
10,-0.16984322424347797,0.18378055514568614,0.17268345071234487,0.07101103522501426,-0.19168305946245734,0.06353172293687961,0.06353172293687948
11,-0.14898513198943328,0.15897661220932366,0.16117231936694315,0.0624405768841757,-0.16608377352319975,0.055492743104011,0.055492743104011
12,-0.12454080166124737,0.1311731358468476,0.14303099538388836,0.05231309346685287,-0.13725038275540244,0.04620589272435554,0.04620589272435554
13,-0.10198842113275183,0.10608045021302345,0.12430470374033273,0.04293251429693179,-0.11116426464532572,0.037697153889811263,0.037697153889811263
14,-0.056937610176908,0.05870981832241698,0.07237355791629975,0.024003874388136708,-0.0615892395125525,0.020991286958614176,0.020991286958614176
15,-0.10849719762174075,0.01660744763653088,0.013104822864383083,0.04388634552338366,-0.023010127547873425,0.04318652580757145,0.04318652580757145
16,-0.26626346626141745,0.012592107675002108,-0.002074119153586562,0.10689196552412444,-0.030458281367609634,0.1068308688287943,0.10683086882879425
17,-0.3830257621451659,0.011446479253114442,-0.0017202138254314978,0.15301237127645811,-0.0412368258473849,0.15370692521046952,0.15370692521046947
18,-0.46480256161623723,0.005353311204625243,-0.00048470553383644,0.18446627068995503,-0.04674414835410127,0.18673675691800945,0.18673675691800934
19,-0.5312213211742695,-0.003779549013648685,0.0012986174455646593,0.2091144921154201,-0.04960227812394435,0.21388162067906996,0.21388162067906988
20,-0.5853997627985061,-0.015068731936204852,0.003479362367511873,0.22821943924975613,-0.05044659334701403,0.23643889875417923,0.23643889875417923
21,-0.5808296670116841,-0.025384360373958074,0.005431965415749751,0.22399684123124347,-0.04600991300377614,0.23552402532435396,0.23552402532435396
22,-0.5235191281317865,-0.03265484845209079,0.006781503738399868,0.1993170042340704,-0.03766719089750871,0.21335887248670712,0.21335887248670712
23,-0.45724948492457546,-0.03697008882214696,0.007590301243930774,0.17160855572354194,-0.029593909711212486,0.18745130020757095,0.18745130020757095
24,-0.3832465964752675,-0.03806786426605761,0.007799649385489646,0.141555649689196,-0.022014700121867906,0.15817456473351013,0.15817456473351013
25,-0.2817688997209541,-0.03287308019413942,0.00675925781804642,0.10237164153993035,-0.014245388388121897,0.11711298954760078,0.11711298954760078
26,-0.17612488145502578,-0.011766783405453394,0.023063524965873522,0.06381266386178479,-0.019091460503370145,0.07232431962890558,0.07232431962890558
27,-0.173906230921815,0.00482101398466687,0.053856344362456274,0.06366404659117414,-0.03601617183233378,0.06950168777883216,0.06950168777883216
28,-0.19806160284986915,0.004335946421471659,0.06410859879046843,0.07215405525967258,-0.04047759701580439,0.07925346247864967,0.07925346247864967
29,-0.12949820292528513,0.002125048572476712,0.043733310656775014,0.046952924519109436,-0.026133242125711432,0.05188276056874808,0.05188276056874808
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accellerations
0,-0.7142348235634705,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.7608861615890699,0.9556781985876337,0.43744520665915176,0.31003904787143305,-0.981275036288709,0.2987496478703736,0.2987496478703736
2,-0.8394252157913199,0.955874167936463,0.6294329287768743,0.34739340727336354,-0.9910284759650669,0.3189912233079061,0.3189912233079061
3,-0.8289915879316728,0.8650521146814714,0.7758220334589168,0.3477202148423899,-0.9054934193168112,0.3065737699838714,0.3065737699838714
4,-0.5865457013256956,0.5119983556434972,0.7702753810402226,0.2520642222631063,-0.5479600927513799,0.20621808103911807,0.20621808103911807
5,0.5610587473588995,-0.8542195382052765,0.025139495121966237,-0.2195514916737923,0.8620757719839868,-0.23627011163243283,-0.23627011163243283
6,-0.34931775306295204,0.22142731900967702,0.7363390852045198,0.15564371045802136,-0.2492794607435405,0.11395037319132104,0.11395037319132104
7,0.6044455640307984,-0.8601196393776388,-5.4628743583017935e-15,-0.2396396088305764,0.872673454049203,-0.24804454797156056,-0.2480445479715715
8,0.6183528116724629,-0.8370795127811184,-0.07064371224027717,-0.24767116350889604,0.8530176914031837,-0.24916442095734256,-0.2491644209573317
9,0.616742154916353,-0.7998809952709643,-0.13696503158866358,-0.24914390422014376,0.818344577355599,-0.24477209774280498,-0.24477209774281514
10,0.7180513225236312,-0.8754880864031148,-0.3236100096730208,-0.29363391841567227,0.9012108174700658,-0.2790415635340345,-0.2790415635340247
11,0.7728334782585027,-0.8989222575409281,-0.494177957374354,-0.31886430566121354,0.9299346535459238,-0.2957227189844865,-0.2957227189844865
12,0.8094261757145895,-0.9030950456425685,-0.6708203679777653,-0.3365236375444978,0.9385670773579742,-0.305653195100421,-0.305653195100421
13,0.49345930898939927,-0.5468716183659417,-0.4108594529570911,-0.205386740461179,0.5687679178657108,-0.18594425009009188,-0.18594425009009188
14,0.6955441811493971,-0.721105357878217,-0.8596181122701053,-0.2929539416826517,0.7559629298958613,-0.2568402657056481,-0.2568402657056481
15,-0.983270147012967,-0.056620801696729985,-0.1697336612884208,0.39349128072065764,-0.0032336385723451843,0.39862675924987967,0.39862675924987967
16,-0.9374707688216297,0.013478982362759656,-0.0014066126574354232,0.37342921852279876,-0.09529498935054936,0.37586004309267335,0.37586004309267246
17,-0.9338032992418789,-0.04351940780820139,0.009266460548370613,0.36409864316408314,-0.07293623845269645,0.3756510260721084,0.3756510260721098
18,-0.8729717930758147,-0.09686195716606497,0.019100893251071324,0.3297539114524025,-0.04652164268780529,0.3544441154310559,0.35444411543105353
19,-0.8733171454578832,-0.14664218070349666,0.02841949180923454,0.3174545712057396,-0.027317642623482862,0.3595919422368295,0.3595919422368323
20,-0.7254448540916714,-0.1902884455000187,0.03665586643498906,0.24529665025384964,0.003875350677645743,0.3064864617126063,0.3064864617126063
21,0.8661994455222373,-0.1316754127500941,0.024288835216128863,-0.3763373861359817,0.13441768390257092,-0.3342885107270232,-0.3342885107270232
22,0.8359001172049845,-0.08624846415567121,0.016147945683583808,-0.3569476821350811,0.11411935018315238,-0.32394171115776343,-0.32394171115776343
23,0.9165318201060012,-0.031658379581832055,0.005949035028410323,-0.3766612839953338,0.100835509529894,-0.36081764870256317,-0.36081764870256317
24,0.7874993866921105,0.003628098966337818,-0.0006170529901618981,-0.3160320854883487,0.07474906008743713,-0.31305377041897575,-0.31305377041897575
25,0.9724869635575671,0.07606011999505805,-0.015311514205615964,-0.36694961815740323,0.06410011805755472,-0.3975128844381324,-0.3975128844381324
26,0.6376773590446586,0.2476116386296952,0.26658422950767613,-0.2205425699778795,-0.13978345230274206,-0.28537760144155205,-0.28537760144155205
27,-0.991185037942828,0.01276026520921124,0.34077526369131406,0.35844831923398923,-0.19836980037579321,0.3973170024255782,0.3973170024255782
28,0.47958685014866476,-0.031549081507437814,-0.10280520335604246,-0.18125993970946652,0.10786795277517831,-0.19004051427133825,-0.19004051427133825
29,0.9829536925209612,-0.022428902915309187,-0.31499210316238085,-0.3584227580337878,0.20130682219682486,-0.39321138701608865,-0.39321138701608865
30,1.0012896929407564,-0.011911583376458293,-0.35032165980533575,-0.3615887572517397,0.19995256551068963,-0.40159453711997856,-0.40159453711997856
